RK,Team,REC,PTS,TREND,Last Week,Next Week,link,name,Week,Poll Type,Rank
10,OKSTOklahoma State,3-0,919,7,"@ Kansas<span class=""green""> W </span>47-7 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/197.png&w=40&h=40,Oklahoma State,6,AP Poll,10
11,CINCincinnati,3-0,895,4,"vs South Florida<span class=""green""> W </span>28-7 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2132.png&w=40&h=40,Cincinnati,6,AP Poll,11
12,OREOregon,0-0,786,2, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2483.png&w=40&h=40,Oregon,6,AP Poll,12
13,AUBAuburn,1-1,731,6,"@ #4 Georgia<span class=""red""> L </span>27-6 ","vs Arkansas<span class=""green""> W </span>30-28 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&w=40&h=40,Auburn,6,AP Poll,13
14,TENNTennessee,2-0,717,7,"vs Missouri<span class=""green""> W </span>35-12 ","@ #3 Georgia<span class=""red""> L </span>44-21 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2633.png&w=40&h=40,Tennessee,6,AP Poll,14
15,BYUBYU,3-0,661,7,"vs Louisiana Tech<span class=""green""> W </span>45-14 ","vs UTSA<span class=""green""> W </span>27-20 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/252.png&w=40&h=40,BYU,6,AP Poll,15
16,WISCWisconsin,0-0,619,3, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&w=40&h=40,Wisconsin,6,AP Poll,16
17,LSULSU,1-1,478,3,"@ Vanderbilt<span class=""green""> W </span>41-7 ","@ Missouri<span class=""red""> L </span>45-41 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/99.png&w=40&h=40,LSU,6,AP Poll,17
18,SMUSMU,4-0,393,NR,"vs #25 Memphis<span class=""green""> W </span>30-27 ", - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2567.png&w=40&h=40,SMU,6,AP Poll,18
19,VTVirginia Tech,2-0,391,NR,"@ Duke<span class=""green""> W </span>38-31 ","@ #8 North Carolina<span class=""red""> L </span>56-45 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&w=40&h=40,Virginia Tech,6,AP Poll,19
20,MICHMichigan,0-0,350,3, - , - ,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/130.png&w=40&h=40,Michigan,6,AP Poll,20
21,TA&MTexas A&M,1-1,330,8,"@ #2 Alabama<span class=""red""> L </span>52-24 ","vs #4 Florida<span class=""green""> W </span>41-38 ",https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/245.png&w=40&h=40,Texas A&M,6,AP Poll,21
